UKPRN,NAME
10000047,Association of British Dispensing Opticians
10000055,Abingdon and Witney College
10000080,Access to Music
10000093,Accrington and Rossendale College
10000143,Barking and Dagenham London Borough Council
10000163,AECC Chiropractic College
10000248,ALRA (Academy of Live and Recorded Arts)
10000256,Alton College
10000275,Amersham and Wycombe College
10000291,Anglia Ruskin University
10000385,The Arts University Bournemouth
10000409,Ashton-Under-Lyne Sixth Form College
10000415,Askham Bryan College
10000473,Aylesbury College
10000528,Barking College
10000533,Barnet College
10000534,Barnfield College
10000536,Barnsley College
10000560,Basingstoke College of Technology
10000571,Bath Spa University
10000610,Bedford College
10000654,Berkshire College of Agriculture
10000670,Bexhill College
10000671,Bexley College
10000683,Bicton College
10000702,Birkenhead Sixth Form College
10000703,Birmingham City Council
10000712,University College Birmingham
10000720,Bishop Auckland College
10000721,Bishop Burton College
10000747,Blackburn College
10000754,Blackpool and The Fylde College
10000760,Blake College Limited
10000794,Bolton Community College
10000812,Boston College
10000820,Bournemouth and Poole College 
10000824,Bournemouth University
10000825,Bournville College of Further Education
10000833,Bracknell and Wokingham College
10000840,Bradford College
10000878,Bridgwater College
10000886,The University of Brighton
10000911,British Council of Osteopathic Medicine
10000920,British Institute of Technology and E-Commerce
10000936,British School of Osteopathy. The
10000944,Brockenhurst College
10000947,The Bromley by Bow Centre
10000948,Bromley College of Further and Higher Education
10000950,Brooklands College
10000952,Brooksby Melton College
10000961,Brunel University
10000975,Buckinghamshire New University
10001000,Burnley College
10001004,Burton College
10001005,Bury College
10001093,Calderdale College
10001116,Cambridge Regional College
10001143,Canterbury Christ Church University
10001144,Canterbury College
10001165,Cardinal Newman College
10001196,Carlisle College
10001201,Carmel College
10001207,Carshalton College
10001282,University of Northumbria at Newcastle
10001288,Centre for Youth Ministry
10001309,Coventry and Warwickshire Chambers of Commerce Training
10001353,Chelmsford College
10001378,Chesterfield College
10001386,The Chicken Shed Theatre Trust
10001446,Cirencester Tertiary College
10001452,City and Islington College
10001457,"City College, Brighton and Hove"
10001458,City College Coventry
10001463,City Literary Institute
10001465,City of Bath College
10001467,City of Bristol College
10001474,City of Stoke on Trent Sixth Form College
10001475,Sunderland College
10001476,City of Westminster College
10001478,The City University
10001503,Cleveland College of Art and Design
10001512,Community Music Limited
10001535,Colchester Institute
10001539,The College of Animal Welfare Limited
10001548,College of North East London
10001549,College of North West London
10001653,Conservatoire for Dance and Drama
10001696,Cornwall College
10001705,Coulsdon College
10001726,Coventry University
10001743,Craven College
10001744,Central Sussex College
10001778,Croydon College
10001850,Darlington College
10001883,De Montfort University
10001897,Dearne Valley College
10001919,Derby College
10001934,Derwentside College
10002005,Doncaster College
10002011,Doreen Bird College of Performing Arts
10002061,Dunstable College
10002094,"Ealing, Hammersmith and West London College"
10002107,East Berkshire College
10002111,East Durham College
10002126,East Riding College
10002130,East Surrey College
10002143,Eastleigh College
10002297,Epping Forest College
10002340,European College of Business and Management
10002344,European School Of Osteopathy
10002356,South Worcestershire College
10002370,Exeter College
10002412,Farnborough College of Technology
10002599,Furness College
10002638,Gateshead College
10002655,Genii Engineering & Technology Training Limited
10002681,Glasgow School of Art
10002696,Gloucestershire College of Arts and Technology
10002718,Goldsmiths College
10002743,Grantham College
10002755,Great Yarmouth College
10002767,Greenbank Project
10002780,Greenwich Community College
10002815,Guildford College of Further and Higher Education
10002820,The Institute of Contemporary Music Performance
10002835,Hackney Community College
10002843,Hadlow College
10002852,Halesowen College
10002863,Riverside College
10002899,Harlow College
10002907,Harrow College
10002917,Hartlepool College of Further Education
10002918,Hartlepool Sixth Form College
10002919,Hartpury College
10002923,Hastings College of Arts and Technology
10002935,Havering College of Further and Higher Education
10003010,"Henley College, Coventry"
10003011,"Henley College, Coventry"
10003022,Hereford College of Arts
10003023,Herefordshire and Ludlow College
10003035,Hertford Regional College
10003128,Holy Cross College
10003146,Hopwood Hall College
10003189,Huddersfield Technical College
10003193,Hugh Baird College
10003200,Hull College
10003270,"Imperial College of Science, Technology and Medicine"
10003331,Regent's University London
10003336,IPP Education
10003406,Isle of Wight College
10003425,Italia Conti Academy of Theatre Arts
10003427,Itchen College
10003558,Kendal College
10003564,Kensington and Chelsea College
10003566,Kensington College of Business
10003570,Kent County Council
10003602,NCG
10003614,The University of Winchester
10003625,"King Edward VI College, Stourbridge"
10003640,King George V College
10003645,King's College London
10003674,Kingston College
10003676,Kingston Maurward College
10003678,Kingston University
10003708,Knowsley Community College
10003753,"Lakes College, West Cumbria"
10003755,Lambeth College
10003768,Lancaster and Morecambe College
10003854,Leeds College of Art
10003855,Leeds College of Building
10003861,Leeds Beckett University 
10003863,Leeds Trinity University
10003867,Leicester College
10003872,Leicestershire County Council
10003894,Lewisham College
10003899,Leyton Sixth Form College
10003928,Lincoln College
10003932,Lincolnshire County Council
10003945,The Liverpool Institute for Performing Arts
10003955,Liverpool Community College
10003956,Liverpool Hope University
10003957,Liverpool John Moores University
10003997,Newham London Borough Council
10004012,London College of Advanced Studies Limited
10004048,London Metropolitan University
10004061,London School of Business and Management Limited
10004063,London School of Economics and Political Science
10004078,London South Bank University
10004079,London Studio Centre Limited
10004112,Loughborough College
10004113,Loughborough University
10004116,Lowestoft College
10004144,Macclesfield College
10004180,The Manchester Metropolitan University
10004222,Marshall of Cambridge Aerospace
10004285,Medway District Council
10004339,Mid-Cheshire College of Further Education
10004340,Mid-Kent College of Higher and Further Education
10004344,Middlesbrough College
10004351,Middlesex University
10004375,Milton Keynes College
10004442,Moulton College
10004478,Myerscough College
10004497,National Autistic Society
10004552,Nelson and Colne College
10004576,"New College, Durham"
10004577,New College Nottingham
10004579,"New College, Swindon"
10004580,"New College, Telford"
10004596,Newbury College
10004599,NCG
10004603,Newcastle-Under-Lyme College
10004607,Newham College of Further Education
10004608,Newham Sixth Form College
10004609,Newham Training and Education Centre
10004676,North Devon College
10004686,North East Surrey College of Technology
10004690,North Hertfordshire College
10004695,North Lindsey College
10004705,North Nottinghamshire College
10004714,North Tyneside Metropolitan Borough Council
10004718,North Warwickshire and Hinckley College
10004721,North West Kent College
10004736,"Northbrook College, Sussex"
10004739,Northern College For Residential Adult Education Limited
10004740,The Northern College of Acupuncture
10004760,Northumberland College
10004771,Norton Radstock College
10004772,Norwich City College of Further and Higher Education
10004775,Norwich University of the Arts
10004797,The Nottingham Trent University
10004835,Oaklands College
10004879,Open College of the Arts
10004901,Orpington College of Further Education
10004927,Activate Learning
10004930,Oxford Brookes University
10005032,Salford City College
10005072,Peter Symonds College
10005077,Peterborough Regional College
10005124,Plumpton College
10005127,Plymouth College of Art and Design
10005128,"City College, Plymouth"
10005200,Preston College
10005337,"Queen Margaret University, Edinburgh"
10005343,The Queen's University of Belfast
10005389,Ravensbourne
10005404,Reaseheath College
10005410,Redbridge College
10005414,Redcar and Cleveland College
10005415,Redcliffe College
10005435,Reigate College
10005455,Royal Engineers Vocational Education and Training Trust
10005465,"Richard Huish College, Taunton"
10005466,Richmond Adult Community College
10005469,Richmond Upon Thames College
10005470,"Richmond, The American International University in London"
10005500,The Robert Gordon University
10005523,Rose Bruford College
10005534,Rotherham College of Arts and Technology
10005544,Royal Academy of Dancing
10005545,Royal Agricultural University
10005553,Royal Holloway and Bedford New College
10005558,Royal National College for the Blind at Hereford
10005561,Royal Conservatoire of Scotland
10005575,Runshaw College
10005583,Ruskin College Oxford
10005669,Sandwell College
10005700,SRUC
10005736,"Seevic College, Essex"
10005741,Selby College
10005788,Sheffield College
10005790,Sheffield Hallam University
10005821,Shrewsbury College of Arts and Technology
10005916,Slough Borough Council
10005946,Solihull College
10005956,Somerset College of Arts and Technology
10005967,South Birmingham College
10005977,South Devon College
10005979,South Downs College
10005981,South East Essex College of Arts and Technology
10005989,South Leicestershire College
10005991,Central College Nottingham
10005997,South Thames College
10005998,Trafford College
10005999,South Tyneside College
10006002,Stratford-Upon-Avon College
10006020,Southampton City College
10006022,Southampton Solent University
10006038,Southport College
10006050,"Sparsholt College, Hampshire"
10006174,St Helens College
10006226,"St Mary's College, Blackburn"
10006268,St Vincent College
10006293,Stafford College
10006299,Staffordshire University
10006303,"New College, Stamford"
10006322,"Stephenson College, Coalville"
10006331,Stockport College of Further and Higher Education
10006341,Stockton Riverside College
10006349,Stoke on Trent College
10006378,"Strode College, Street"
10006379,"Strode's College, Egham"
10006389,The Interactive Design Institute
10006398,Suffolk New College
10006427,University for the Creative Arts
10006432,Sussex Downs College
10006442,Birmingham Metropolitan College
10006444,Sutton College of Learning for Adults
10006463,Swindon College
10006494,Tameside College
10006549,Telford College of Arts and Technology
10006566,The University of West London
10006570,Thanet College
10006715,John Kitto Community College
10006770,Oldham College
10006840,The University of Birmingham
10006841,The University of Bolton
10006842,The University of Liverpool
10006958,Totton College
